DEPTH,ROW_ID,NU_MEAS,NU_PRED,G_MEAS_GPa,G_PRED_GPa,K_MEAS_GPa,K_PRED_GPa,E_MEAS_GPa,E_PRED_GPa,VPVS_MEAS,VPVS_PRED,NU_PRED_VALID,VPVS_PRED_VALID,G_PRED_VALID,K_PRED_VALID,E_PRED_VALID,ALL_GATES_VALID
2692.6784,117,0.125712717277602,-2.74738097338635,6.53385764722666,13.2258670489876,6.55044666302472,-2.3722325393232,14.7104932927291,-46.2212568758768,1.52835606605589,1.07423006447678,0,0,1,0,0,0
2692.8308,118,0.150091135630441,-2.68814291414919,6.28349601851132,13.1931590485053,6.8842621679785,-2.32862187201345,14.4531861433181,-44.5438759259549,1.55850681988281,1.07556083625661,0,0,1,0,0,0
2692.9832,119,0.158674521203228,-2.80080489308529,6.17178921696943,13.2114564186208,6.98365183201684,-2.40257110351827,14.3021898318786,-47.5825107268706,1.5699928212542,1.07306952473794,0,0,1,0,0,0
2693.1356,120,0.167910572919889,-3.02761731892291,5.98134287488918,13.1264388537839,7.01183979795594,-2.51495484057034,13.9713471676842,-53.2307895114294,1.58291457285893,1.06852175006672,0,0,1,0,0,0
2693.288,121,0.1748045592186,-3.01156031580755,5.85837173713063,13.0129602620109,7.05467232242543,-2.48477904408163,13.7648836527569,-52.3527089084837,1.59296482416209,1.06882498408118,0,0,1,0,0,0
2693.4404,122,0.200493023479785,-3.09337697893342,5.48107120319428,12.8440443663426,7.32313241033587,-2.4941651405286,13.1599754812614,-53.7748535858023,1.63383297639161,1.06730730233922,0,0,1,0,0,0
2693.5928,123,0.231453650130344,-2.97807738391227,5.02900075278002,12.5834151364657,7.68704215184839,-2.3855103597325,12.3859626670384,-49.7819377876443,1.69170800854793,1.0694660272856,0,0,1,0,0,0
2693.7452,124,0.231613946324395,-2.03664993104047,4.95755147862781,11.8563925493332,7.58334180319609,-1.61511295774444,12.2115790813983,-24.58185703731,1.69203664553044,1.09412538927229,0,0,1,0,0,0
2693.8976,125,0.221612879172218,-3.97129149057971,4.77244549257113,12.0019339799195,6.98078376319587,-2.65853421993523,11.6601617577446,-71.3224886100681,1.67214236826264,1.05443089601581,0,0,1,0,0,0
2694.05,126,0.241604329257539,-0.860913131287763,4.6195448169241,9.91548817789131,7.39904920157481,0.337791386951868,11.4712936877844,2.75822840483222,1.71318911378076,1.16935896064359,0,0,1,1,1,0
2694.2024,127,0.243717505871194,-0.659540490944336,4.74582617430792,9.78531923733581,7.67703247786915,0.957708393831969,11.8049341856169,6.66300996699259,1.71783937448463,1.19632992751326,0,0,1,1,1,0
2694.3548,128,0.205449479064961,-0.874662197811024,5.02344151043943,9.93655954980047,6.85281982940148,0.301995776920096,12.111009903745,2.49085307058376,1.64240727773945,1.16778667645484,0,0,1,1,1,0
